product_name,sales_price,discount_price,images,category,reviews
Skin Renewing Peel,"NGN 14,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33988%2F33988.png%3Fversion%3D1675953900&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,468
Purifying Toner with Organic Tea Tree & Lime,"NGN 7,890.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34843%2F34843.png%3Fversion%3D1685367000&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,423
Mattifying Face Lotion with Organic Tea Tree & Lime,"NGN 7,590.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34845%2F34845.png%3Fversion%3D1643798703&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,367
Purifying Face Oil with Organic Tea Tree & Lime,"NGN 5,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34849%2F34849.png%3Fversion%3D1655991000&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,490
Supreme Cleansing Gel,"NGN 16,030.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33984%2F33984.png%3Fversion%3D1669189542&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,738
Time Restore SET,"NGN 129,990.00","NGN 103,990.00",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F31774%2F31774.png%3Fversion%3D1667379620&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,614
Day Shield SPF50 UVA/PA++++ Advanced Skin Protector,"NGN 19,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34143%2F34143.png%3Fversion%3D1648032319&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,531
Men Energising & Hydrating Booster,"NGN 32,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33200%2F33200.png%3Fversion%3D1594228886&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,39
Men Intense Anti-Ageing Face Gel Lotion,"NGN 22,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33201%2F33201.png%3Fversion%3D1594228887&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,83
Men Purifying & Exfoliating Cleanser,"NGN 13,020.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33198%2F33198.png%3Fversion%3D1594228885&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,84
Men Eye Rescue Gel,"NGN 17,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33199%2F33199.png%3Fversion%3D1594228885&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,47
Men SET,"NGN 86,990.00","NGN 69,590.00",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F29446%2F29446.png%3Fversion%3D1647250201&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,401
Time Restore Multi Correcting Day Cream SPF 15,"NGN 26,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F32627%2F32627.png%3Fversion%3D1607594401&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,119
Time Restore Regenerative Night Cream,"NGN 26,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F32628%2F32628.png%3Fversion%3D1607368506&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,104
Time Restore Eye & Lip Cream,"NGN 20,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F32629%2F32629.png%3Fversion%3D1682680500&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,132
Time Restore Revitalising Serum,"NGN 38,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F32630%2F32630.png%3Fversion%3D1607330707&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,127
Anti-Cellulite Body Gel,"NGN 17,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41817%2F41817.png%3Fversion%3D1668584700&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,27
Cream Sensitive Body + Face SPF 50+ Very High,"NGN 21,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F35760%2F35760.png%3Fversion%3D1662983100&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,77
Nourishing Body Lotion with Organic Cacao Butter & Coconut Oil,"NGN 25,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41490%2F41490.png%3Fversion%3D1675184401&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,71
Caring Body Lotion with Organic Oat & Apricot,"NGN 19,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41492%2F41492.png%3Fversion%3D1647014400&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,92
Protecting Intimate Wash Cranberry,"NGN 8,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34498%2F34498.png%3Fversion%3D1607612414&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,308
Soothing Intimate Wash Aloe Vera & Mallow,"NGN 8,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34499%2F34499.png%3Fversion%3D1622620803&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,250
Nourishing Hand Cream with Organic Coconut Oil,"NGN 4,590.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41338%2F41338.png%3Fversion%3D1664476257&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,47
Caring Hand Cream with Organic Avocado Oil,"NGN 4,590.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F44280%2F44280.png%3Fversion%3D1664476301&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,67
Invisible Fresh anti-perspirant deodorant,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41303%2F41303.png%3Fversion%3D1699367402&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,169
Protecting Hand & Nail Cream with Organic Macadamia Oil,"NGN 4,590.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41335%2F41335.png%3Fversion%3D1662988500&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,121
Invisible Fresh anti-perspirant deodorant spray,"NGN 7,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41311%2F41311.png%3Fversion%3D1699367404&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,62
Nourishing Body Cream with Organic Cacao Butter & Coconut Oil,"NGN 10,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42991%2F42991.png%3Fversion%3D1663342201&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,336
Mister Giordani Anti-perspirant Roll-On Deodorant,"NGN 4,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42524%2F42524.png%3Fversion%3D1620137700&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,175
Even Tone anti-perspirant deodorant cream,"NGN 6,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43928%2F43928.png%3Fversion%3D1699367405&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,234
Sensitive Toothpaste,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38873%2F38873.png%3Fversion%3D1662986709&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,403
Maximum Fresh Toothpaste,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F44952%2F44952.png%3Fversion%3D1611332102&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,432
Natural Oils Toothpaste,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F44953%2F44953.png%3Fversion%3D1611332102&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,231
Pro White Toothpaste,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38874%2F38874.png%3Fversion%3D1611332101&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,701
Hair & Body Oil Sweet Almond Oil,"NGN 9,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38907%2F38907.png%3Fversion%3D1665649801&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,655
Extra Comfort Nurturing Intimate Cleansing Cream Calendula,"NGN 8,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34504%2F34504.png%3Fversion%3D1659090600&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,2513
Advanced Foot File,"NGN 6,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F40781%2F40781.png%3Fversion%3D1594222805&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,204
Subzero Deodorant Roll-on,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F35880%2F35880.png%3Fversion%3D1689665401&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,600
Extreme Anti-perspirant Deodorant Spray,"NGN 7,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33147%2F33147.png%3Fversion%3D1607612410&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,422
Extreme Anti-perspirant Deodorant,"NGN 4,190.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33142%2F33142.png%3Fversion%3D1607637603&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,978
Comfort Overnight Moisturising Foot Cream,"NGN 9,490.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F34935%2F34935.png%3Fversion%3D1594222367&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,271
Advanced Deep Exfoliating Foot Cream,"NGN 8,390.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33033%2F33033.png%3Fversion%3D1594228844&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,202
Man Anti-perspirant Deodorant Spray,"NGN 8,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F32496%2F32496.png%3Fversion%3D1594222251&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,590
Advanced/ 36H Odour Control Anti-perspirant Foot Spray,"NGN 9,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33034%2F33034.png%3Fversion%3D1607612408&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,237
Milk & Honey Gold Moisturising Hand Cream,"NGN 5,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F31606%2F31606.png%3Fversion%3D1594224088&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,586
Advanced Cracked Heel Repair & Smooth Foot Cream,"NGN 8,390.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33027%2F33027.png%3Fversion%3D1607612407&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,775
Milk & Honey Gold nourishing Hand & Body Cream,"NGN 11,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F31602%2F31602.png%3Fversion%3D1697453100&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,2326
Milk & Honey Gold Smoothing Sugar Scrub,"NGN 12,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F31601%2F31601.png%3Fversion%3D1594224086&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,3433
Glow Essentials Body Lotion with Vitamins E & B3,"NGN 9,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43907%2F43907.png%3Fversion%3D1603980906&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,bodycare,897
Nourishing Hair Oil Coconut Oil,"NGN 8,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41568%2F41568.png%3Fversion%3D1650894303&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,69
Shampoo For Dandruff Control with Organic Tea Tree Oil & Aloe Vera,"NGN 8,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41359%2F41359.png%3Fversion%3D1650893403&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,77
Strengthening Hair Smoothie Mask with Organic Banana,"NGN 3,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43661%2F43661.png%3Fversion%3D1650894304&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,80
Shampoo For Dry Hair with Organic Wheat & Coconut,"NGN 8,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41292%2F41292.png%3Fversion%3D1650893401&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,85
Conditioner For Dry Hair with Organic Wheat & Coconut,"NGN 8,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41295%2F41295.png%3Fversion%3D1650893402&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,82
Hot Oil For Dry Hair with Organic Wheat & Coconut,"NGN 2,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41308%2F41308.png%3Fversion%3D1686047400&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,114
Hair & Body Oil Sweet Almond Oil,"NGN 9,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38907%2F38907.png%3Fversion%3D1665649801&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,hair,655
Eau de Parfum,"NGN 30,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38497%2F38497.png%3Fversion%3D1614785400&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,fragrance,268
Intense Eau de Parfum,"NGN 30,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F38527%2F38527.png%3Fversion%3D1612197900&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,fragrance,73
Woman Perfumed Roll-On Deodorant,"NGN 4,790.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43665%2F43665.png%3Fversion%3D1651053603&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,fragrance,92
